iter	Passed	Remaining
800	9732	2417
801	9746	2406
802	9759	2394
803	9769	2381
804	9778	2368
805	9790	2356
806	9801	2344
807	9811	2331
808	9822	2319
809	9833	2306
810	9843	2294
811	9854	2281
812	9865	2269
813	9876	2256
814	9886	2244
815	9897	2231
816	9908	2219
817	9921	2207
818	9932	2195
819	9943	2182
820	9955	2170
821	9966	2158
822	9976	2145
823	9987	2133
824	9999	2121
825	10010	2108
826	10021	2096
827	10033	2084
828	10043	2071
829	10054	2059
830	10066	2047
831	10076	2034
832	10101	2025
833	10112	2012
834	10124	2000
835	10135	1988
836	10145	1975
837	10155	1963
838	10167	1951
839	10176	1938
840	10187	1925
841	10197	1913
842	10208	1901
843	10219	1888
844	10231	1876
845	10243	1864
846	10254	1852
847	10265	1840
848	10277	1827
849	10287	1815
850	10298	1803
851	10309	1790
852	10320	1778
853	10332	1766
854	10344	1754
855	10354	1741
856	10366	1729
857	10377	1717
858	10388	1705
859	10399	1692
860	10412	1680
861	10425	1669
862	10438	1657
863	10449	1644
864	10460	1632
865	10472	1620
866	10482	1608
867	10492	1595
868	10504	1583
869	10515	1571
870	10526	1559
871	10538	1546
872	10549	1534
873	10560	1522
874	10572	1510
875	10583	1498
876	10594	1485
877	10605	1473
878	10616	1461
879	10630	1449
880	10641	1437
881	10652	1425
882	10663	1412
883	10674	1400
884	10685	1388
885	10695	1376
886	10706	1363
887	10716	1351
888	10727	1339
889	10737	1327
890	10750	1315
891	10761	1303
892	10775	1291
893	10785	1278
894	10795	1266
895	10806	1254
896	10817	1242
897	10828	1229
898	10838	1217
899	10850	1205
900	10860	1193
901	10872	1181
902	10882	1169
903	10893	1156
904	10903	1144
905	10916	1132
906	10929	1120
907	10940	1108
908	10952	1096
909	10965	1084
910	10977	1072
911	10993	1060
912	11005	1048
913	11017	1036
914	11029	1024
915	11040	1012
916	11053	1000
917	11065	988
918	11078	976
919	11090	964
920	11103	952
921	11117	940
922	11129	928
923	11143	916
924	11154	904
925	11166	892
926	11178	880
927	11189	868
928	11200	856
929	11213	843
930	11223	831
931	11236	819
932	11247	807
933	11261	795
934	11273	783
935	11285	771
936	11299	759
937	11310	747
938	11321	735
939	11336	723
940	11349	711
941	11363	699
942	11377	687
943	11391	675
944	11403	663
945	11418	651
